,identifier,source,annotation
20595,PPIB_ECOLI,Gene Ontology (molecular function), RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]
20596,PPIB_ECOLI,Gene Ontology (molecular function), RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]
20597,P23871,Gene Ontology (biological process),heme biosynthetic process [GO:0006783]
20598,P23871,Gene Ontology (cellular component),cytoplasm [GO:0005737]
20599,P23871,Gene Ontology (molecular function),ferrochelatase activity [GO:0004325]
20600,P23871,Gene Ontology (molecular function), metal ion binding [GO:0046872]
20601,P23871,Gene Ontology (biological process), protoporphyrinogen IX metabolic process [GO:0046501]
20602,P23871,Gene Ontology (biological process), response to light stimulus [GO:0009416]
20603,HEMH_ECOLI,Gene Ontology (biological process),heme biosynthetic process [GO:0006783]
20604,HEMH_ECOLI,Gene Ontology (cellular component),cytoplasm [GO:0005737]
20605,HEMH_ECOLI,Gene Ontology (molecular function),ferrochelatase activity [GO:0004325]
20606,HEMH_ECOLI,Gene Ontology (molecular function), metal ion binding [GO:0046872]
20607,HEMH_ECOLI,Gene Ontology (biological process), protoporphyrinogen IX metabolic process [GO:0046501]
20608,HEMH_ECOLI,Gene Ontology (biological process), response to light stimulus [GO:0009416]
20610,P23872,Gene Ontology (cellular component),cytoplasm [GO:0005737]
20611,P23872,Gene Ontology (molecular function),acetylesterase activity [GO:0008126]
20612,P23872,Gene Ontology (molecular function), hydrolase activity [GO:0016787]
20613,P23872,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
20614,P23872,Gene Ontology (molecular function), short-chain carboxylesterase activity [GO:0034338]
20616,AES_ECOLI,Gene Ontology (cellular component),cytoplasm [GO:0005737]
20617,AES_ECOLI,Gene Ontology (molecular function),acetylesterase activity [GO:0008126]
20618,AES_ECOLI,Gene Ontology (molecular function), hydrolase activity [GO:0016787]
20619,AES_ECOLI,Gene Ontology (molecular function), protein homodimerization activity [GO:0042803]
20620,AES_ECOLI,Gene Ontology (molecular function), short-chain carboxylesterase activity [GO:0034338]
20621,P23874,Gene Ontology (biological process),dormancy process [GO:0022611]
20622,P23874,Gene Ontology (cellular component),cytosol [GO:0005829]
20623,P23874,Gene Ontology (molecular function),3-phosphoinositide-dependent protein kinase activity [GO:0004676]
20624,P23874,Gene Ontology (molecular function), AMP-activated protein kinase activity [GO:0004679]
20625,P23874,Gene Ontology (molecular function), ATP binding [GO:0005524]
20626,P23874,Gene Ontology (molecular function), DNA-binding transcription repressor activity [GO:0001217]
20627,P23874,Gene Ontology (molecular function), DNA-dependent protein kinase activity [GO:0004677]
20628,P23874,Gene Ontology (molecular function), histone H2AS1 kinase activity [GO:0044024]
